tranco_id,domain,categories,trust,status_code,crux_code,main_category
9584,lolipop.jp,Personal Pages,Minimal Risk,200,200,Web Infrastructure
9585,turf-fr.com,Gambling Related|Sports,Minimal Risk,200,200,Gambling
9587,slrclub.com,Business,Minimal Risk,200,200,Business & Finance
9588,watchanimeworld.in,Illegal Software,Unverified,301,200,Security Risks
9589,steadfast.com.bd,Marketing/Merchandising,Minimal Risk,200,200,E-commerce
9590,oechsle.pe,Shopping/Merchandizing,Minimal Risk,200,200,E-commerce
9591,meteored.mx,Consumer Information,Minimal Risk,200,200,Lifestyle
9592,idos.cz,Consumer Information,Minimal Risk,302,200,Lifestyle
9593,telstra.com.au,Business|Internet Services,Minimal Risk,200,200,Business & Finance
9594,mydesi2.net,Pornography,Minimal Risk,301,200,Adult
9596,wishlink.com,Internet Services,Minimal Risk,200,200,Technology
9597,pornarabi.net,Pornography|Web Ads,Unverified,200,200,Adult
9598,futbol-11.com,Sports,Minimal Risk,200,200,Entertainment
9602,modaselvim.com,Fashion/Beauty|Shopping/Merchandizing,Minimal Risk,200,200,E-commerce
9603,hubcloud.foo,Personal Network Storage,Unverified,200,200,Web Infrastructure
9604,almalinux.org,Software/Hardware,Minimal Risk,200,200,Technology
9605,udvash-unmesh.com,,Unverified,302,200,Other
9606,sarkariexam.com,Job Search,Minimal Risk,200,200,Business & Finance
9607,kyoto-u.ac.jp,Education/Reference,Minimal Risk,301,200,Education
9608,shopch.jp,Shopping/Merchandizing,Minimal Risk,200,200,E-commerce
9610,eredmenyek.com,Gambling,Minimal Risk,200,200,Gambling
9612,hdroom.xxx,Pornography,Minimal Risk,302,200,Adult
9614,fngml.com,Pornography,Minimal Risk,200,200,Adult
9615,tamilgun.group,Illegal Software,Unverified,301,200,Security Risks
9617,dropmms.net,Pornography,Unverified,200,200,Adult
9618,speedostream1.com,Illegal Software|Streaming Media,Unverified,200,200,Security Risks
9620,careerpower.in,Education/Reference,Minimal Risk,200,200,Education
9624,hlebo.com,Pornography,Minimal Risk,200,200,Adult
9626,dreammail.jp,Marketing/Merchandising,Minimal Risk,200,200,E-commerce
9629,sengokuixa.jp,Games,Minimal Risk,200,200,Entertainment
9630,tubepussy.org,Pornography|Web Ads,Unverified,200,200,Adult
9632,interbet.co.za,Gambling,Minimal Risk,200,200,Gambling
9634,royal558.com,Gambling,Minimal Risk,200,200,Gambling
9635,buzzarab.com,Dating/Personals,Minimal Risk,200,200,Adult
9637,sexallarab.com,Web Ads,Minimal Risk,200,200,Web Infrastructure
9639,tubidy.com,Entertainment/Recreation/Hobbies,Minimal Risk,301,200,Entertainment
9640,wri.org,Business,Minimal Risk,200,200,Business & Finance
9642,epicurious.com,Email Sender|Recreation/Hobbies,Minimal Risk,200,200,Entertainment
9643,ddd-smart.net,Pornography,Minimal Risk,301,200,Adult
9644,juegosonce.es,Gambling|NonProfit Organizations/Advocacy Groups,Minimal Risk,200,200,Gambling
9645,liveball.sx,Marketing/Merchandising,Minimal Risk,200,200,E-commerce
